Instance,Stations(m),BestCycle,TotalWork(sum_ti),GlobalLineEfficiency(%),StationIndex,StationLoad,StationUtilization(Load/BestCycle),TasksSequence
LUTZ3,3,548.0,1644,100.00,1,548,1.0000,30 1 2 3 4 5 10 6 7 9 8 11 12 13 14 15 16 17 18 19 20 28 21 54 55 56 57 64 62 58 59 63
LUTZ3,3,548.0,1644,100.00,2,548,1.0000,66 61 22 23 24 65 60 67 25 27 29 26 31 32 33 34 35 36 37 38 39 41 43 40 44 42 48
LUTZ3,3,548.0,1644,100.00,3,548,1.0000,45 46 47 49 50 51 52 53 71 70 68 73 69 74 76 75 72 80 77 78 79 81 82 83 85 84 86 87 88 89
